FID,nome_orige
RedeUrbanaSintese_Regic2007.48,Senador Alexandre Costa
RedeUrbanaSintese_Regic2007.49,Anapurus
RedeUrbanaSintese_Regic2007.50,Belágua
RedeUrbanaSintese_Regic2007.51,Brejo
RedeUrbanaSintese_Regic2007.52,Mata Roma
RedeUrbanaSintese_Regic2007.53,São Benedito do Rio Preto
RedeUrbanaSintese_Regic2007.54,Dom Eliseu
RedeUrbanaSintese_Regic2007.55,Araguatins
RedeUrbanaSintese_Regic2007.56,Itaguatins
RedeUrbanaSintese_Regic2007.57,São Miguel do Tocantins
RedeUrbanaSintese_Regic2007.58,Bannach
RedeUrbanaSintese_Regic2007.59,Sítio Novo do Tocantins
RedeUrbanaSintese_Regic2007.60,Açailândia
RedeUrbanaSintese_Regic2007.61,Amarante do Maranhão
RedeUrbanaSintese_Regic2007.62,Balsas
RedeUrbanaSintese_Regic2007.63,Buriticupu
RedeUrbanaSintese_Regic2007.64,Buritirana
RedeUrbanaSintese_Regic2007.65,Campestre do Maranhão
RedeUrbanaSintese_Regic2007.66,Cidelândia
RedeUrbanaSintese_Regic2007.67,Davinópolis
RedeUrbanaSintese_Regic2007.68,Estreito
RedeUrbanaSintese_Regic2007.69,Conceição do Araguaia
RedeUrbanaSintese_Regic2007.70,Governador Edison Lobão
RedeUrbanaSintese_Regic2007.71,Grajaú
RedeUrbanaSintese_Regic2007.72,João Lisboa
RedeUrbanaSintese_Regic2007.73,Lajeado Novo
RedeUrbanaSintese_Regic2007.74,Montes Altos
RedeUrbanaSintese_Regic2007.75,Porto Franco
RedeUrbanaSintese_Regic2007.76,Ribamar Fiquene
RedeUrbanaSintese_Regic2007.77,São Francisco do Brejão
RedeUrbanaSintese_Regic2007.78,São João do Paraíso
RedeUrbanaSintese_Regic2007.79,São Pedro da Água Branca
RedeUrbanaSintese_Regic2007.80,Cumaru do Norte
RedeUrbanaSintese_Regic2007.81,Senador La Rocque
RedeUrbanaSintese_Regic2007.351,Parelhas
RedeUrbanaSintese_Regic2007.82,Sítio Novo
RedeUrbanaSintese_Regic2007.83,Vila Nova dos Martírios
RedeUrbanaSintese_Regic2007.84,Bernardo do Mearim
RedeUrbanaSintese_Regic2007.85,Capinzal do Norte
RedeUrbanaSintese_Regic2007.86,Esperantinópolis
RedeUrbanaSintese_Regic2007.87,Igarapé Grande
RedeUrbanaSintese_Regic2007.88,Joselândia
RedeUrbanaSintese_Regic2007.89,Lago do Junco
RedeUrbanaSintese_Regic2007.90,Lima Campos
RedeUrbanaSintese_Regic2007.91,Floresta do Araguaia
RedeUrbanaSintese_Regic2007.92,Poção de Pedras
RedeUrbanaSintese_Regic2007.93,Santo Antônio dos Lopes
RedeUrbanaSintese_Regic2007.94,São Raimundo do Doca Bezerra
RedeUrbanaSintese_Regic2007.95,Trizidela do Vale
RedeUrbanaSintese_Regic2007.96,Bequimão
RedeUrbanaSintese_Regic2007.97,Centro Novo do Maranhão
RedeUrbanaSintese_Regic2007.98,Cururupu
RedeUrbanaSintese_Regic2007.99,Governador Nunes Freire
RedeUrbanaSintese_Regic2007.100,Matinha
RedeUrbanaSintese_Regic2007.101,Palmeirândia
RedeUrbanaSintese_Regic2007.352,São Fernando
RedeUrbanaSintese_Regic2007.102,Pau d'Arco
RedeUrbanaSintese_Regic2007.103,Pedro do Rosário
RedeUrbanaSintese_Regic2007.104,Peri Mirim
RedeUrbanaSintese_Regic2007.105,Presidente Sarney
RedeUrbanaSintese_Regic2007.106,Santa Helena
RedeUrbanaSintese_Regic2007.107,Turiaçu
RedeUrbanaSintese_Regic2007.108,Colinas
RedeUrbanaSintese_Regic2007.109,Dom Pedro
RedeUrbanaSintese_Regic2007.110,Governador Archer
RedeUrbanaSintese_Regic2007.111,Governador Eugênio Barros
RedeUrbanaSintese_Regic2007.112,Governador Luiz Rocha
RedeUrbanaSintese_Regic2007.113,Santa Filomena
RedeUrbanaSintese_Regic2007.114,Rio Maria
RedeUrbanaSintese_Regic2007.115,Graça Aranha
RedeUrbanaSintese_Regic2007.116,Santa Filomena do Maranhão
RedeUrbanaSintese_Regic2007.117,São Domingos do Maranhão
RedeUrbanaSintese_Regic2007.118,São José dos Basílios
RedeUrbanaSintese_Regic2007.119,Senador Alexandre Costa
RedeUrbanaSintese_Regic2007.120,Tuntum
RedeUrbanaSintese_Regic2007.121,Cachoeira Grande
RedeUrbanaSintese_Regic2007.122,Alto Alegre do Pindaré
RedeUrbanaSintese_Regic2007.123,Bom Jardim
RedeUrbanaSintese_Regic2007.124,Igarapé do Meio
RedeUrbanaSintese_Regic2007.125,Santana do Araguaia
RedeUrbanaSintese_Regic2007.126,Monção
RedeUrbanaSintese_Regic2007.127,Pindaré-Mirim
RedeUrbanaSintese_Regic2007.128,Santa Luzia
RedeUrbanaSintese_Regic2007.129,Santa Luzia do Paruá
RedeUrbanaSintese_Regic2007.130,São João do Carú
RedeUrbanaSintese_Regic2007.131,Tufilândia
RedeUrbanaSintese_Regic2007.132,Vitória do Mearim
RedeUrbanaSintese_Regic2007.133,Bacurituba
RedeUrbanaSintese_Regic2007.134,Cajapió
RedeUrbanaSintese_Regic2007.135,Lagoa do Mato
RedeUrbanaSintese_Regic2007.136,Tucumã
RedeUrbanaSintese_Regic2007.137,Nova Iorque
RedeUrbanaSintese_Regic2007.138,Paraibano
RedeUrbanaSintese_Regic2007.139,Passagem Franca
RedeUrbanaSintese_Regic2007.140,Pastos Bons
RedeUrbanaSintese_Regic2007.141,Sucupira do Riachão
RedeUrbanaSintese_Regic2007.142,Cajari
RedeUrbanaSintese_Regic2007.143,Olinda Nova do Maranhão
RedeUrbanaSintese_Regic2007.144,Araguanã
RedeUrbanaSintese_Regic2007.145,Governador Newton Bello
RedeUrbanaSintese_Regic2007.146,Presidente Médici
RedeUrbanaSintese_Regic2007.147,Xinguara
RedeUrbanaSintese_Regic2007.148,Santo Antônio dos Milagres
RedeUrbanaSintese_Regic2007.149,Novo Santo Antônio
RedeUrbanaSintese_Regic2007.150,São Francisco do Maranhão
RedeUrbanaSintese_Regic2007.151,Boa Hora
RedeUrbanaSintese_Regic2007.152,Campo Largo do Piauí
RedeUrbanaSintese_Regic2007.153,Nossa Senhora dos Remédios
RedeUrbanaSintese_Regic2007.154,Porto
RedeUrbanaSintese_Regic2007.155,Alvorada do Gurguéia
RedeUrbanaSintese_Regic2007.156,Colônia do Gurguéia
RedeUrbanaSintese_Regic2007.157,Cristino Castro
RedeUrbanaSintese_Regic2007.158,Ourilândia do Norte
RedeUrbanaSintese_Regic2007.159,Curimatá
RedeUrbanaSintese_Regic2007.160,Currais
RedeUrbanaSintese_Regic2007.161,Monte Alegre do Piauí
RedeUrbanaSintese_Regic2007.162,Palmeira do Piauí
RedeUrbanaSintese_Regic2007.163,Redenção do Gurguéia
RedeUrbanaSintese_Regic2007.164,Santa Luz
RedeUrbanaSintese_Regic2007.165,Boqueirão do Piauí
RedeUrbanaSintese_Regic2007.166,Castelo do Piauí
RedeUrbanaSintese_Regic2007.167,Cocal de Telha
RedeUrbanaSintese_Regic2007.168,Jatobá do Piauí
RedeUrbanaSintese_Regic2007.169,São Félix do Xingu
RedeUrbanaSintese_Regic2007.170,Nossa Senhora de Nazaré
RedeUrbanaSintese_Regic2007.171,São Miguel do Tapuio
RedeUrbanaSintese_Regic2007.172,Sigefredo Pacheco
RedeUrbanaSintese_Regic2007.173,Brejo do Piauí
RedeUrbanaSintese_Regic2007.174,Eliseu Martins
RedeUrbanaSintese_Regic2007.175,Pajeú do Piauí
RedeUrbanaSintese_Regic2007.176,Tamboril do Piauí
RedeUrbanaSintese_Regic2007.177,Avelino Lopes
RedeUrbanaSintese_Regic2007.178,Cristalândia do Piauí
RedeUrbanaSintese_Regic2007.179,Gilbués
RedeUrbanaSintese_Regic2007.180,Água Azul do Norte
RedeUrbanaSintese_Regic2007.181,Parnaguá
RedeUrbanaSintese_Regic2007.182,Riacho Frio
RedeUrbanaSintese_Regic2007.183,São Gonçalo do Gurguéia
RedeUrbanaSintese_Regic2007.184,Sebastião Barros
RedeUrbanaSintese_Regic2007.185,Campo Largo do Piauí
RedeUrbanaSintese_Regic2007.186,Joaquim Pires
RedeUrbanaSintese_Regic2007.187,Matias Olímpio
RedeUrbanaSintese_Regic2007.188,Morro do Chapéu do Piauí
RedeUrbanaSintese_Regic2007.189,São João do Arraial
RedeUrbanaSintese_Regic2007.190,Barão de Grajaú
RedeUrbanaSintese_Regic2007.191,Sapucaia
RedeUrbanaSintese_Regic2007.192,Antônio Almeida
RedeUrbanaSintese_Regic2007.193,Arraial
RedeUrbanaSintese_Regic2007.194,Bertolínia
RedeUrbanaSintese_Regic2007.195,Canavieira
RedeUrbanaSintese_Regic2007.196,Flores do Piauí
RedeUrbanaSintese_Regic2007.197,Francisco Ayres
RedeUrbanaSintese_Regic2007.198,Guadalupe
RedeUrbanaSintese_Regic2007.199,Itaueira
RedeUrbanaSintese_Regic2007.200,Jerumenha
RedeUrbanaSintese_Regic2007.201,Landri Sales
RedeUrbanaSintese_Regic2007.202,Sandolândia
RedeUrbanaSintese_Regic2007.203,Manoel Emídio
RedeUrbanaSintese_Regic2007.204,Marcos Parente
RedeUrbanaSintese_Regic2007.205,Nazaré do Piauí
RedeUrbanaSintese_Regic2007.206,Pavussu
RedeUrbanaSintese_Regic2007.207,Porto Alegre do Piauí
RedeUrbanaSintese_Regic2007.208,Rio Grande do Piauí
RedeUrbanaSintese_Regic2007.209,São Francisco do Piauí
RedeUrbanaSintese_Regic2007.210,São José do Peixe
RedeUrbanaSintese_Regic2007.211,Sebastião Leal
RedeUrbanaSintese_Regic2007.212,Uruçuí
RedeUrbanaSintese_Regic2007.213,Augustinópolis
RedeUrbanaSintese_Regic2007.214,Joca Marques
RedeUrbanaSintese_Regic2007.215,Madeiro
RedeUrbanaSintese_Regic2007.2449,Juruá
RedeUrbanaSintese_Regic2007.216,Cajazeiras do Piauí
RedeUrbanaSintese_Regic2007.217,Colônia do Piauí
RedeUrbanaSintese_Regic2007.218,Floresta do Piauí
RedeUrbanaSintese_Regic2007.219,Santa Rosa do Piauí
RedeUrbanaSintese_Regic2007.220,Santo Inácio do Piauí
RedeUrbanaSintese_Regic2007.221,São João da Varjota
RedeUrbanaSintese_Regic2007.222,São Miguel do Fidalgo
RedeUrbanaSintese_Regic2007.223,Tanque do Piauí
RedeUrbanaSintese_Regic2007.224,Santa Filomena
RedeUrbanaSintese_Regic2007.225,Axixá do Tocantins
RedeUrbanaSintese_Regic2007.226,Araioses
RedeUrbanaSintese_Regic2007.227,Magalhães de Almeida
RedeUrbanaSintese_Regic2007.228,Milagres do Maranhão
RedeUrbanaSintese_Regic2007.229,Santa Quitéria do Maranhão
RedeUrbanaSintese_Regic2007.230,Santana do Maranhão
RedeUrbanaSintese_Regic2007.231,São Bernardo
RedeUrbanaSintese_Regic2007.232,Tutóia
RedeUrbanaSintese_Regic2007.233,Bom Princípio do Piauí
RedeUrbanaSintese_Regic2007.234,Buriti dos Lopes
RedeUrbanaSintese_Regic2007.235,Cajueiro da Praia
RedeUrbanaSintese_Regic2007.236,Buriti do Tocantins
RedeUrbanaSintese_Regic2007.237,Caraúbas do Piauí
RedeUrbanaSintese_Regic2007.238,Caxingó
RedeUrbanaSintese_Regic2007.239,Cocal
RedeUrbanaSintese_Regic2007.240,Cocal dos Alves
RedeUrbanaSintese_Regic2007.241,Ilha Grande
RedeUrbanaSintese_Regic2007.242,Joaquim Pires
RedeUrbanaSintese_Regic2007.243,Luís Correia
RedeUrbanaSintese_Regic2007.244,Murici dos Portelas
RedeUrbanaSintese_Regic2007.245,Lagoa de São Francisco
RedeUrbanaSintese_Regic2007.246,Milton Brandão
RedeUrbanaSintese_Regic2007.247,Cachoeirinha
RedeUrbanaSintese_Regic2007.248,Alagoinha do Piauí
RedeUrbanaSintese_Regic2007.249,Alegrete do Piauí
RedeUrbanaSintese_Regic2007.250,Aroeiras do Itaim
RedeUrbanaSintese_Regic2007.251,Bocaina
RedeUrbanaSintese_Regic2007.252,Campo Grande do Piauí
RedeUrbanaSintese_Regic2007.253,Dom Expedito Lopes
RedeUrbanaSintese_Regic2007.254,Francisco Macedo
RedeUrbanaSintese_Regic2007.255,Francisco Santos
RedeUrbanaSintese_Regic2007.256,Fronteiras
RedeUrbanaSintese_Regic2007.257,Geminiano
RedeUrbanaSintese_Regic2007.258,Carrasco Bonito
RedeUrbanaSintese_Regic2007.259,Isaías Coelho
RedeUrbanaSintese_Regic2007.937,Perdizes
RedeUrbanaSintese_Regic2007.260,Itainópolis
RedeUrbanaSintese_Regic2007.261,Jaicós
RedeUrbanaSintese_Regic2007.262,Marcolândia
RedeUrbanaSintese_Regic2007.263,Monsenhor Hipólito
RedeUrbanaSintese_Regic2007.264,Padre Marcos
RedeUrbanaSintese_Regic2007.265,Paquetá
RedeUrbanaSintese_Regic2007.266,Paulistana
RedeUrbanaSintese_Regic2007.267,Pio IX
RedeUrbanaSintese_Regic2007.268,Santa Cruz do Piauí
RedeUrbanaSintese_Regic2007.269,Esperantina
RedeUrbanaSintese_Regic2007.270,Santana do Piauí
RedeUrbanaSintese_Regic2007.271,Santo Antônio de Lisboa
RedeUrbanaSintese_Regic2007.272,São João da Canabrava
RedeUrbanaSintese_Regic2007.273,São José do Piauí
RedeUrbanaSintese_Regic2007.274,São Luis do Piauí
RedeUrbanaSintese_Regic2007.275,Sussuapara
RedeUrbanaSintese_Regic2007.276,Vera Mendes
RedeUrbanaSintese_Regic2007.277,Vila Nova do Piauí
RedeUrbanaSintese_Regic2007.278,Wall Ferraz
RedeUrbanaSintese_Regic2007.279,Brasileira
RedeUrbanaSintese_Regic2007.280,Praia Norte
RedeUrbanaSintese_Regic2007.281,Capitão de Campos
RedeUrbanaSintese_Regic2007.282,Domingos Mourão
RedeUrbanaSintese_Regic2007.283,Lagoa de São Francisco
RedeUrbanaSintese_Regic2007.284,Piracuruca
RedeUrbanaSintese_Regic2007.285,São João da Fronteira
RedeUrbanaSintese_Regic2007.286,Campo Alegre do Fidalgo
RedeUrbanaSintese_Regic2007.287,Capitão Gervásio Oliveira
RedeUrbanaSintese_Regic2007.288,João Costa
RedeUrbanaSintese_Regic2007.289,Lagoa do Barro do Piauí
RedeUrbanaSintese_Regic2007.290,Pedro Laurentino
RedeUrbanaSintese_Regic2007.291,Sampaio
RedeUrbanaSintese_Regic2007.292,Nova Santa Rita
RedeUrbanaSintese_Regic2007.293,Ribeira do Piauí
RedeUrbanaSintese_Regic2007.294,Anísio de Abreu
RedeUrbanaSintese_Regic2007.295,Bonfim do Piauí
RedeUrbanaSintese_Regic2007.296,Caracol
RedeUrbanaSintese_Regic2007.297,Coronel José Dias
RedeUrbanaSintese_Regic2007.298,Dirceu Arcoverde
RedeUrbanaSintese_Regic2007.299,Dom Inocêncio
RedeUrbanaSintese_Regic2007.300,Fartura do Piauí
RedeUrbanaSintese_Regic2007.301,São Braz do Piauí
RedeUrbanaSintese_Regic2007.302,São Sebastião do Tocantins
RedeUrbanaSintese_Regic2007.372,Bodó
RedeUrbanaSintese_Regic2007.303,São Lourenço do Piauí
RedeUrbanaSintese_Regic2007.304,Várzea Branca
RedeUrbanaSintese_Regic2007.305,Caridade do Piauí
RedeUrbanaSintese_Regic2007.306,Curral Novo do Piauí
RedeUrbanaSintese_Regic2007.307,Bela Vista do Piauí
RedeUrbanaSintese_Regic2007.2428,Itamarati
RedeUrbanaSintese_Regic2007.308,Campinas do Piauí
RedeUrbanaSintese_Regic2007.309,Conceição do Canindé
RedeUrbanaSintese_Regic2007.310,Paes Landim
RedeUrbanaSintese_Regic2007.311,São Francisco de Assis do  Piauí
RedeUrbanaSintese_Regic2007.312,Socorro do Piauí
RedeUrbanaSintese_Regic2007.313,Bernardo Sayão
RedeUrbanaSintese_Regic2007.314,Lagoa Alegre
RedeUrbanaSintese_Regic2007.315,Lagoa do Sítio
RedeUrbanaSintese_Regic2007.316,Novo Oriente do Piauí
RedeUrbanaSintese_Regic2007.317,Pimenteiras
RedeUrbanaSintese_Regic2007.318,Jati
RedeUrbanaSintese_Regic2007.319,Penaforte
RedeUrbanaSintese_Regic2007.320,Barroquinha
RedeUrbanaSintese_Regic2007.321,Chaval
RedeUrbanaSintese_Regic2007.322,Jijoca de Jericoacoara
RedeUrbanaSintese_Regic2007.323,Croatá
RedeUrbanaSintese_Regic2007.324,Brasilândia do Tocantins
RedeUrbanaSintese_Regic2007.325,Baixio
RedeUrbanaSintese_Regic2007.326,Orós
RedeUrbanaSintese_Regic2007.327,Umari
RedeUrbanaSintese_Regic2007.328,Pires Ferreira
RedeUrbanaSintese_Regic2007.329,Carnaubal
RedeUrbanaSintese_Regic2007.330,Milhã
RedeUrbanaSintese_Regic2007.331,Cruzeta
RedeUrbanaSintese_Regic2007.332,Ipueira
RedeUrbanaSintese_Regic2007.333,Jardim de Piranhas
RedeUrbanaSintese_Regic2007.334,Jardim do Seridó
RedeUrbanaSintese_Regic2007.335,São Pedro dos Crentes
RedeUrbanaSintese_Regic2007.336,Couto de Magalhães
RedeUrbanaSintese_Regic2007.337,Ouro Branco
RedeUrbanaSintese_Regic2007.338,Parelhas
RedeUrbanaSintese_Regic2007.339,São Fernando
RedeUrbanaSintese_Regic2007.340,São João do Sabugi
RedeUrbanaSintese_Regic2007.341,São José do Seridó
RedeUrbanaSintese_Regic2007.342,Serra Negra do Norte
RedeUrbanaSintese_Regic2007.343,Timbaúba dos Batistas
RedeUrbanaSintese_Regic2007.344,São Bento
RedeUrbanaSintese_Regic2007.345,Cruzeta
RedeUrbanaSintese_Regic2007.346,Ipueira
RedeUrbanaSintese_Regic2007.347,Itacajá
RedeUrbanaSintese_Regic2007.348,Jardim de Piranhas
RedeUrbanaSintese_Regic2007.349,Jardim do Seridó
RedeUrbanaSintese_Regic2007.353,São João do Sabugi
RedeUrbanaSintese_Regic2007.354,São José do Seridó
RedeUrbanaSintese_Regic2007.355,Serra Negra do Norte
RedeUrbanaSintese_Regic2007.356,Timbaúba dos Batistas
RedeUrbanaSintese_Regic2007.357,São Bento
RedeUrbanaSintese_Regic2007.358,Itapiratins
RedeUrbanaSintese_Regic2007.359,Baía Formosa
RedeUrbanaSintese_Regic2007.360,Baía Formosa
RedeUrbanaSintese_Regic2007.361,Acari
RedeUrbanaSintese_Regic2007.362,Bodó
RedeUrbanaSintese_Regic2007.363,Carnaúba dos Dantas
RedeUrbanaSintese_Regic2007.364,Cerro Corá
RedeUrbanaSintese_Regic2007.365,Florânia
RedeUrbanaSintese_Regic2007.366,Lagoa Nova
RedeUrbanaSintese_Regic2007.367,São Vicente
RedeUrbanaSintese_Regic2007.368,Tenente Laurentino Cruz
RedeUrbanaSintese_Regic2007.369,Juarina
RedeUrbanaSintese_Regic2007.370,Frei Martinho
RedeUrbanaSintese_Regic2007.371,Acari
RedeUrbanaSintese_Regic2007.373,Carnaúba dos Dantas
RedeUrbanaSintese_Regic2007.374,Cerro Corá
RedeUrbanaSintese_Regic2007.375,Florânia
RedeUrbanaSintese_Regic2007.376,Lagoa Nova
RedeUrbanaSintese_Regic2007.377,São Vicente
RedeUrbanaSintese_Regic2007.378,Tenente Laurentino Cruz
RedeUrbanaSintese_Regic2007.379,Frei Martinho
RedeUrbanaSintese_Regic2007.380,Tupiratins
RedeUrbanaSintese_Regic2007.381,Caiçara do Norte
RedeUrbanaSintese_Regic2007.382,Galinhos
RedeUrbanaSintese_Regic2007.383,Jandaíra
RedeUrbanaSintese_Regic2007.384,Jardim de Angicos
RedeUrbanaSintese_Regic2007.385,Parazinho
RedeUrbanaSintese_Regic2007.386,Pedra Grande
RedeUrbanaSintese_Regic2007.387,Pedra Preta
RedeUrbanaSintese_Regic2007.388,São Bento do Norte
RedeUrbanaSintese_Regic2007.389,Caiçara do Norte
RedeUrbanaSintese_Regic2007.390,Galinhos
RedeUrbanaSintese_Regic2007.391,Centenário
RedeUrbanaSintese_Regic2007.392,Jandaíra
RedeUrbanaSintese_Regic2007.393,Jardim de Angicos
RedeUrbanaSintese_Regic2007.394,Parazinho
RedeUrbanaSintese_Regic2007.395,Pedra Grande
RedeUrbanaSintese_Regic2007.396,Pedra Preta
RedeUrbanaSintese_Regic2007.397,São Bento do Norte
RedeUrbanaSintese_Regic2007.398,Guamaré
RedeUrbanaSintese_Regic2007.399,Pendências
RedeUrbanaSintese_Regic2007.400,Guamaré
RedeUrbanaSintese_Regic2007.401,Pendências
RedeUrbanaSintese_Regic2007.402,Fortaleza do Tabocão
RedeUrbanaSintese_Regic2007.403,Açu
RedeUrbanaSintese_Regic2007.404,Apodi
RedeUrbanaSintese_Regic2007.405,Areia Branca
RedeUrbanaSintese_Regic2007.406,Augusto Severo
RedeUrbanaSintese_Regic2007.407,Baraúna
RedeUrbanaSintese_Regic2007.408,Caraúbas
RedeUrbanaSintese_Regic2007.409,Felipe Guerra
RedeUrbanaSintese_Regic2007.410,Frutuoso Gomes
RedeUrbanaSintese_Regic2007.411,Governador Dix-Sept Rosado
RedeUrbanaSintese_Regic2007.412,Grossos
RedeUrbanaSintese_Regic2007.413,Goianorte
RedeUrbanaSintese_Regic2007.414,Itaú
RedeUrbanaSintese_Regic2007.415,Janduís
RedeUrbanaSintese_Regic2007.416,Martins
RedeUrbanaSintese_Regic2007.417,Messias Targino
RedeUrbanaSintese_Regic2007.418,Olho-d'Água do Borges
RedeUrbanaSintese_Regic2007.419,Patu
RedeUrbanaSintese_Regic2007.420,Tibau
RedeUrbanaSintese_Regic2007.421,Serra do Mel
RedeUrbanaSintese_Regic2007.422,Umarizal
RedeUrbanaSintese_Regic2007.423,Upanema
RedeUrbanaSintese_Regic2007.424,Itaporã do Tocantins
RedeUrbanaSintese_Regic2007.425,Açu
RedeUrbanaSintese_Regic2007.426,Apodi
RedeUrbanaSintese_Regic2007.427,Areia Branca
RedeUrbanaSintese_Regic2007.428,Augusto Severo
RedeUrbanaSintese_Regic2007.429,Baraúna
RedeUrbanaSintese_Regic2007.430,Caraúbas
RedeUrbanaSintese_Regic2007.431,Felipe Guerra
RedeUrbanaSintese_Regic2007.432,Frutuoso Gomes
RedeUrbanaSintese_Regic2007.433,Governador Dix-Sept Rosado
RedeUrbanaSintese_Regic2007.434,Grossos
RedeUrbanaSintese_Regic2007.435,Pedro Afonso
RedeUrbanaSintese_Regic2007.436,Itaú
RedeUrbanaSintese_Regic2007.437,Janduís
RedeUrbanaSintese_Regic2007.438,Martins
RedeUrbanaSintese_Regic2007.439,Messias Targino
RedeUrbanaSintese_Regic2007.440,Olho-d'Água do Borges
RedeUrbanaSintese_Regic2007.441,Patu
RedeUrbanaSintese_Regic2007.442,Tibau
RedeUrbanaSintese_Regic2007.443,Serra do Mel
RedeUrbanaSintese_Regic2007.444,Umarizal
RedeUrbanaSintese_Regic2007.445,Upanema
RedeUrbanaSintese_Regic2007.446,São Pedro dos Crentes
RedeUrbanaSintese_Regic2007.447,Pequizeiro
RedeUrbanaSintese_Regic2007.448,Monte das Gameleiras
RedeUrbanaSintese_Regic2007.449,Serra de São Bento
RedeUrbanaSintese_Regic2007.450,Monte das Gameleiras
RedeUrbanaSintese_Regic2007.451,Serra de São Bento
RedeUrbanaSintese_Regic2007.452,Água Nova
RedeUrbanaSintese_Regic2007.453,Alexandria
RedeUrbanaSintese_Regic2007.454,Doutor Severiano
RedeUrbanaSintese_Regic2007.455,Encanto
RedeUrbanaSintese_Regic2007.456,Francisco Dantas
RedeUrbanaSintese_Regic2007.457,José da Penha
RedeUrbanaSintese_Regic2007.458,Colméia
RedeUrbanaSintese_Regic2007.459,Luís Gomes
RedeUrbanaSintese_Regic2007.460,Major Sales
RedeUrbanaSintese_Regic2007.461,Marcelino Vieira
RedeUrbanaSintese_Regic2007.462,Martins
RedeUrbanaSintese_Regic2007.463,Paraná
RedeUrbanaSintese_Regic2007.464,Portalegre
RedeUrbanaSintese_Regic2007.465,Rafael Fernandes
RedeUrbanaSintese_Regic2007.466,Riacho da Cruz
RedeUrbanaSintese_Regic2007.467,Riacho de Santana
RedeUrbanaSintese_Regic2007.468,São Francisco do Oeste
RedeUrbanaSintese_Regic2007.469,Presidente Kennedy
RedeUrbanaSintese_Regic2007.470,São Miguel
RedeUrbanaSintese_Regic2007.471,Serrinha dos Pintos
RedeUrbanaSintese_Regic2007.472,Taboleiro Grande
RedeUrbanaSintese_Regic2007.473,Tenente Ananias
RedeUrbanaSintese_Regic2007.474,Viçosa
RedeUrbanaSintese_Regic2007.475,Água Nova
RedeUrbanaSintese_Regic2007.476,Alexandria
RedeUrbanaSintese_Regic2007.477,Doutor Severiano
RedeUrbanaSintese_Regic2007.478,Encanto
RedeUrbanaSintese_Regic2007.479,Francisco Dantas
RedeUrbanaSintese_Regic2007.2527,Nova Ipixuna
RedeUrbanaSintese_Regic2007.480,Recursolândia
